Hanwha Q-Cell 490W Module,,Model,Q.PEAK DUO BLK-G6+ 340,Q.PEAK DUO XL-10.3/BFG (BiFacial),,,,,,For 3-Phase systems add $500 for oversized inverter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Production/PV module,555,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,748,,,,,,,,,,,,,,,,,,,,
Inverter Model Single Phase,,SE7600H-US,SE9KUS,SE7600H-US,SE6000H-US,SE10000H-US,SE6000H-US,SE10000H-US,SE6000H-US,SE10000H-US,SE6000H-US,SE10000H-US,SE6000H-US,SE11400H-US,SE6000H-US,SE7600H-US X2,SE6000H-US,SE7600H-US X2,SE7600H-US X2,SE7600H-US X2,SE7600H-US X2,SE7600H-US X2,SE6000H-US,SE7600H-US X2,SE7600H-US X2,SE10000H-US X2,SE7600H-US X2,SE10000H-US X2,SE6000H-US,SE10000H-US X2,SE10000H-US X2,SE10000H-US X2,SE10000H-US X2,SE10000H-US X2,,,,,,,,,,,,,,,,,,,,
Inverter Model 3-Phase 208V,,n/a,SE9KUS,n/a,SE9KUS,SE10KUS,SE10KUS,SE10KUS,SE10KUS,SE10KUS,SE10KUS,SE17.4KUS,SE14.4KUS,SE17.4KUS,SE14.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE17.4KUS,SE10KUS X2,SE9KUS X2,SE10KUS X2,SE14.4KUS,SE10KUS X2,,,,,,,,,,,,,,,,,,,,
PV Module Power (Watts),365,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,490,,,,,,,,,,,,,,,,,,,,
Optimizer Model,P700,P1101,P730,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,P1101,,,,,,,,,,,,,,,,,,,,
Qty. PV Modules,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,42,46,43,48,,,,,,,,,,,,,,,,,,,,
System Size (Watts),365,7840,8330,8820,9310,9800,10290,10780,11270,11760,12250,12740,13230,13720,14210,14700,15190,15680,16170,16660,17150,17640,18130,18620,19110,19600,20090,20580,21070,21560,20580,22540,21070,23520,,,,,,,,,,,,,,,,,,,,
Annual Production (kWh),555,11968,12716,13464,14212,14960,15708,16456,17204,17952,18700,19448,20196,20944,21692,22440,23188,23936,24684,25432,26180,26928,27676,28424,29172,29920,30668,31416,32164,32912,31416,34408,32164,35904,,,,,,,,,,,,,,,,,,,,
,,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,,,,,,,,,,,,,,,,,,,,
Pricing w/o Permit Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardware,,"$11,430.85","$12,410.70","$12,681.18","$13,681.54","$13,891.85","$14,912.54","$15,062.85","$16,103.70","$16,194.18","$17,255.01","$17,285.84","$18,366.49","$18,337.82","$19,438.13","$19,350.14","$20,469.93","$20,386.26","$21,461.88","$21,255.76","$22,366.89","$22,077.66","$23,296.40","$22,927.33","$24,114.73","$24,054.69","$24,887.83","$24,757.58","$25,615.71","$25,412.86","$23,591.27","$26,385.50","$23,811.80","$27,342.28",,,,,,,,,,,,,,,,,,,,
Sales Tax,,"$2,484.97","$2,697.98","$2,756.78","$2,974.25","$3,019.97","$3,241.86","$3,274.53","$3,500.80","$3,520.47","$3,751.09","$3,757.79","$3,992.72","$3,986.48","$4,225.68","$4,206.55","$4,449.98","$4,431.80","$4,665.63","$4,620.82","$4,862.37","$4,799.49","$5,064.43","$4,984.20","$5,242.33","$5,229.28","$5,410.40","$5,382.08","$5,568.63","$5,524.53","$5,128.54","$5,735.98","$5,176.48","$5,943.97",,,,,,,,,,,,,,,,,,,,
Services & Labor,,"$17,146.27","$18,616.04","$19,021.78","$20,522.30","$20,837.78","$22,368.80","$22,594.28","$24,155.54","$24,291.27","$25,882.52","$25,928.75","$27,549.74","$27,506.73","$29,157.20","$29,025.21","$30,704.89","$30,579.39","$32,192.83","$31,883.64","$33,550.34","$33,116.49","$34,944.60","$34,390.99","$36,172.09","$36,082.03","$37,331.74","$37,136.36","$38,423.56","$38,119.29","$35,386.90","$39,578.26","$35,717.70","$41,013.42",,,,,,,,,,,,,,,,,,,,
Total Cost of PV System,,"$31,062.08","$33,724.72","$34,459.74","$37,178.09","$37,749.60","$40,523.20","$40,931.66","$43,760.04","$44,005.92","$46,888.63","$46,972.38","$49,908.95","$49,831.04","$52,821.01","$52,581.90","$55,624.80","$55,397.44","$58,320.34","$57,760.22","$60,779.60","$59,993.64","$63,305.43","$62,302.52","$65,529.15","$65,366.00","$67,629.97","$67,276.02","$69,607.91","$69,056.68","$64,106.70","$71,699.74","$64,705.97","$74,299.68",,,,,,,,,,,,,,,,,,,,
Federal 30% Tax Credit,,"$9,318.62","$10,117.42","$10,337.92","$11,153.43","$11,324.88","$12,156.96","$12,279.50","$13,128.01","$13,201.78","$14,066.59","$14,091.71","$14,972.68","$14,949.31","$15,846.30","$15,774.57","$16,687.44","$16,619.23","$17,496.10","$17,328.07","$18,233.88","$17,998.09","$18,991.63","$18,690.76","$19,658.74","$19,609.80","$20,288.99","$20,182.81","$20,882.37","$20,717.00","$19,232.01","$21,509.92","$19,411.79","$22,289.90",,,,,,,,,,,,,,,,,,,,
Net After Tax Credit,,"$21,743.46","$23,607.30","$24,121.82","$26,024.66","$26,424.72","$28,366.24","$28,652.16","$30,632.03","$30,804.14","$32,822.04","$32,880.67","$34,936.26","$34,881.73","$36,974.70","$36,807.33","$38,937.36","$38,778.21","$40,824.24","$40,432.15","$42,545.72","$41,995.55","$44,313.80","$43,611.76","$45,870.40","$45,756.20","$47,340.98","$47,093.21","$48,725.53","$48,339.68","$44,874.69","$50,189.82","$45,294.18","$52,009.78",,,,,,,,,,,,,,,,,,,,
Cost Per Watt,,$3.96,$4.05,$3.91,$3.99,$3.85,$3.94,$3.80,$3.88,$3.74,$3.83,$3.69,$3.77,$3.63,$3.72,$3.58,$3.66,$3.53,$3.61,$3.47,$3.54,$3.40,$3.49,$3.35,$3.43,$3.34,$3.37,$3.27,$3.30,$3.20,$3.12,$3.18,$3.07,$3.16,,,,,,,,,,,,,,,,,,,,
,,6664,,7497,7913.5,8330,8746.5,9163,9579.5,9996,10412.5,10829,11245.5,11662,12078.5,12495,12911.5,13328,13744.5,14161,14577.5,14994,15410.5,15827,16243.5,16660,17076.5,17493,17909.5,18326,17493,19159,17909.5,19992,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 450W Module Neon2,,Model,Q.PEAK DUO BLK-G6+ 340,LG450N2W-E6,,,,,,For 3-Phase systems add $500 for oversized inverter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Production/PV module,555,672,555,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,672,,,,,,,,,,,,,,,,,,,,
Inverter Model Single Phase,,SE7600H-US,SE9KUS,SE7600H-US,SE6000H-US,SE10000H-US,SE6000H-US,SE10000H-US,SE6000H-US,SE10000H-US,SE6000H-US,SE10000H-US,SE6000H-US,SE11400H-US,SE6000H-US,SE7600H-US X2,SE6000H-US,SE7600H-US X2,SE7600H-US X2,SE7600H-US X2,SE7600H-US X2,SE7600H-US X2,SE6000H-US,SE7600H-US X2,SE7600H-US X2,SE10000H-US X2,SE7600H-US X2,SE10000H-US X2,SE6000H-US,SE10000H-US X2,SE10000H-US X2,SE10000H-US X2,SE10000H-US X2,SE10000H-US X2,,,,,,,,,,,,,,,,,,,,
Inverter Model 3-Phase 208V,,n/a,SE9KUS,SE9KUS,SE9KUS,SE9KUS,SE9KUS,SE9KUS,SE9KUS,SE14.4KUS,SE9KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE14.4KUS,SE9KUS X2,SE14.4KUS,SE9KUS X2,SE14.4KUS,SE9KUS X2,SE14.4KUS,SE9KUS X2,SE9KUS X2,SE9KUS X2,SE14.4KUS,SE14.4KUS X2,,,,,,,,,,,,,,,,,,,,
PV Module Power (Watts),365,450,365,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,450,,,,,,,,,,,,,,,,,,,,
Optimizer Model,P700,P950,P730,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,P950,,,,,,,,,,,,,,,,,,,,
Qty. PV Modules,1,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,42,46,43,48,,,,,,,,,,,,,,,,,,,,
System Size (Watts),365,7200,6205,8100,8550,9000,9450,9900,10350,10800,11250,11700,12150,12600,13050,13500,13950,14400,14850,15300,15750,16200,16650,17100,17550,18000,18450,18900,19350,19800,18900,20700,19350,21600,,,,,,,,,,,,,,,,,,,,
Annual Production (kWh),555,10752,9435,12096,12768,13440,14112,14784,15456,16128,16800,17472,18144,18816,19488,20160,20832,21504,22176,22848,23520,24192,24864,25536,26208,26880,27552,28224,28896,29568,28224,30912,28896,32256,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pricing w/o Permit Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardware,,"$10,550.71",$0.00,"$11,738.39","$14,572.83","$12,896.93","$15,821.28","$14,026.32","$17,015.34","$15,170.28","$18,155.01","$16,245.03","$19,240.29","$17,290.63","$20,271.19","$18,307.08","$21,247.70","$19,352.68","$22,169.82","$20,438.35","$23,037.55","$21,509.45","$23,850.89","$22,565.98","$24,609.85","$23,607.94","$25,314.42","$24,558.81","$25,964.60","$25,487.83","$23,411.20","$26,394.98","$25,964.60","$27,280.28",,,,,,,,,,,,,,,,,,,,
Sales Tax,,"$2,293.63",$0.00,"$2,551.82","$3,168.01","$2,803.68","$3,439.41","$3,049.20","$3,698.99","$3,297.89","$3,946.74","$3,531.53","$4,182.67","$3,758.83","$4,406.78","$3,979.80","$4,619.06","$4,207.10","$4,819.53","$4,443.12","$5,008.16","$4,675.97","$5,184.98","$4,905.65","$5,349.97","$5,132.16","$5,503.13","$5,338.87","$5,644.48","$5,540.83","$5,089.39","$5,738.04","$5,644.48","$5,930.50",,,,,,,,,,,,,,,,,,,,
Services & Labor,,"$15,826.06",$0.00,"$17,607.59","$21,859.25","$19,345.39","$23,731.92","$21,039.48","$25,523.01","$22,755.43","$27,232.51","$24,367.54","$28,860.44","$25,935.94","$30,406.78","$27,460.62","$31,871.54","$29,029.02","$33,254.72","$30,657.53","$34,556.32","$32,264.18","$35,776.34","$33,848.97","$36,914.77","$35,411.90","$37,971.63","$36,838.22","$38,946.90","$38,231.74","$35,116.80","$39,592.48","$38,946.90","$40,920.42",,,,,,,,,,,,,,,,,,,,
Total Cost of PV System,,"$28,670.40",$0.00,"$31,897.80","$39,600.09","$35,046.00","$42,992.61","$38,115.00","$46,237.33","$41,223.60","$49,334.26","$44,144.10","$52,283.40","$46,985.40","$55,084.75","$49,747.50","$57,738.30","$52,588.80","$60,244.06","$55,539.00","$62,602.03","$58,449.60","$64,812.21","$61,320.60","$66,874.59","$64,152.00","$68,789.18","$66,735.90","$70,555.97","$69,260.40","$63,617.40","$71,725.50","$70,555.97","$74,131.20",,,,,,,,,,,,,,,,,,,,
Federal 30% Tax Credit,,"$8,601.12",$0.00,"$9,569.34","$11,880.03","$10,513.80","$12,897.78","$11,434.50","$13,871.20","$12,367.08","$14,800.28","$13,243.23","$15,685.02","$14,095.62","$16,525.42","$14,924.25","$17,321.49","$15,776.64","$18,073.22","$16,661.70","$18,780.61","$17,534.88","$19,443.66","$18,396.18","$20,062.38","$19,245.60","$20,636.75","$20,020.77","$21,166.79","$20,778.12","$19,085.22","$21,517.65","$21,166.79","$22,239.36",,,,,,,,,,,,,,,,,,,,
Net After Tax Credit,,"$20,069.28",$0.00,"$22,328.46","$27,720.06","$24,532.20","$30,094.82","$26,680.50","$32,366.13","$28,856.52","$34,533.98","$30,900.87","$36,598.38","$32,889.78","$38,559.32","$34,823.25","$40,416.81","$36,812.16","$42,170.84","$38,877.30","$43,821.42","$40,914.72","$45,368.54","$42,924.42","$46,812.21","$44,906.40","$48,152.42","$46,715.13","$49,389.18","$48,482.28","$44,532.18","$50,207.85","$49,389.18","$51,891.84",,,,,,,,,,,,,,,,,,,,
Cost Per Watt,,$3.98,$0.00,$3.94,$4.63,$3.89,$4.55,$3.85,$4.47,$3.82,$4.39,$3.77,$4.30,$3.73,$4.22,$3.69,$4.14,$3.65,$4.06,$3.63,$3.97,$3.61,$3.89,$3.59,$3.81,$3.56,$3.73,$3.53,$3.65,$3.50,$3.37,$3.47,$3.65,$3.43,,,,,,,,,,,,,,,,,,,,
,,5385600,,6058800,6395400,6732000,7068600,7405200,7741800,8078400,8415000,8751600,9088200,9424800,9761400,10098000,10434600,10771200,11107800,11444400,11781000,12117600,12454200,12790800,13127400,13464000,13800600,14137200,14473800,14810400,14137200,15483600,14473800,16156800,,,,,,,,,,,,,,,,,,,,
