Residential Systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hanwah Q-Cell 415W Module,Model,Q.PEAK DUO ML-G10+ 415,,,Note: These modules have a white back sheet. We may have 400W black on black panels in stock.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimizer Model,,,,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,,,,,,,,,,,,,,,,,,,
Qty. PV Modules,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,,,,,,,,,,,,,,,,,,,
System Size (Watts),2280,3040,3800,4560,5320,6080,6840,7600,8360,9120,9880,10640,11400,12160,12920,13680,14440,,,,,,,,,,,,,,,,,,,
Annual Production (kWh),3456,4608,5760,6912,8064,9216,10368,11520,12672,13824,14976,16128,17280,18432,19584,20736,21888,,,,,,,,,,,,,,,,,,,
Pricing w/o Permit Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardware,"$5,502.59","$6,863.01","$7,868.10","$8,426.48","$9,191.29","$10,017.02","$11,025.49","$12,047.50","$12,991.67","$13,888.46","$14,825.86","$15,871.56","$16,954.48","$17,272.59","$18,064.48","$18,944.35","$19,868.22",,,,,,,,,,,,,,,,,,,
Sales Tax,"$1,196.22","$1,491.96","$1,710.46","$1,831.84","$1,998.11","$2,177.61","$2,396.85","$2,619.02","$2,824.28","$3,019.23","$3,223.01","$3,450.34","$3,685.76","$3,754.91","$3,927.06","$4,118.34","$4,319.18",,,,,,,,,,,,,,,,,,,
Services & Labor,"$8,253.89","$10,294.52","$11,802.15","$12,639.72","$13,786.94","$15,025.53","$16,538.23","$18,071.24","$19,487.50","$20,832.69","$22,238.80","$23,807.34","$25,431.72","$25,908.88","$27,096.71","$28,416.52","$29,802.32",,,,,,,,,,,,,,,,,,,
Total Cost of PV System,"$14,952.70","$18,649.49","$21,380.70","$22,898.04","$24,976.34","$27,220.16","$29,960.57","$32,737.76","$35,303.44","$37,740.38","$40,287.68","$43,129.24","$46,071.96","$46,936.38","$49,088.25","$51,479.21","$53,989.72",,,,,,,,,,,,,,,,,,,
Federal 30% Tax Credit,"$4,485.81","$5,594.85","$6,414.21","$6,869.41","$7,492.90","$8,166.05","$8,988.17","$9,821.33","$10,591.03","$11,322.12","$12,086.30","$12,938.77","$13,821.59","$14,080.92","$14,726.47","$15,443.76","$16,196.91",,,,,,,,,,,,,,,,,,,
Net After Tax Credit,"$10,466.89","$13,054.64","$14,966.49","$16,028.63","$17,483.44","$19,054.11","$20,972.40","$22,916.43","$24,712.41","$26,418.27","$28,201.37","$30,190.47","$32,250.37","$32,855.47","$34,361.77","$36,035.45","$37,792.80",,,,,,,,,,,,,,,,,,,
Cost Per Watt,$6.56,$6.13,$5.63,$5.02,$4.69,$4.48,$4.38,$4.31,$4.22,$4.14,$4.08,$4.05,$4.04,$3.86,$3.80,$3.76,$3.74,,,,,,,,,,,,,,,,,,,
,1938,2584,3230,3876,4522,5168,5814,6460,7106,7752,8398,9044,9690,10336,10982,11628,12274,,,,,,,,,,,,,,,,,,,
,6.5582,6.1347,5.6265,5.0215,4.6948,4.477,4.3802,4.3076,4.2229,4.1382,4.0777,4.0535,4.0414,3.8599,3.7994,3.7631,3.7389,,,,,,,,,,,,,,,,,,,
,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,
,7.21402,6.74817,6.18915,5.52365,5.16428,4.9247,4.81822,4.73836,4.64519,4.55202,4.48547,4.45885,4.44554,4.24589,4.17934,4.13941,4.11279,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LG 435W Module NeonR,Model,LG435QAC-A6,,Note: Best residential module with bankable warranty.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual Production/PV module,664,664,664,664,664,664,664,664,664,664,664,664,664,664,664,664,664,,,,,,,,,,,,,,,,,,,
Inverter Model,IQ8,IQ8,IQ8,SE5000H-US,SE6000H-US,SE6000H-US,SE7600H-US,SE7600H-US,SE10000H-US,SE10000H-US,SE10000H-US,SE11400H-US,SE11400H-US,2x SE7600-US,2x SE7600-US,2x SE7600-US,2x SE7600-US,,,,,,,,,,,,,,,,,,,
PV Module Power (Watts),435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,435,,,,,,,,,,,,,,,,,,,
Optimizer Model,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,S440,,,,,,,,,,,,,,,,,,,
Qty. PV Modules,6,8,10,12,14,16,18,20,22,24,26,28,30,32,34,36,38,,,,,,,,,,,,,,,,,,,
System Size (Watts),2610,3480,4350,5220,6090,6960,7830,8700,9570,10440,11310,12180,13050,13920,14790,15660,16530,,,,,,,,,,,,,,,,,,,
Annual Production (kWh),3984,5312,6640,7968,9296,10624,11952,13280,14608,15936,17264,18592,19920,21248,22576,23904,25232,,,,,,,,,,,,,,,,,,,
Pricing w/o Permit Fees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hardware,"$6,928.92","$8,641.98","$9,907.59","$10,610.71","$11,573.77","$12,613.54","$13,883.41","$15,170.33","$16,359.24","$17,488.50","$18,668.88","$19,985.64","$21,349.26","$21,749.83","$22,746.98","$23,854.92","$25,018.27",,,,,,,,,,,,,,,,,,,
Sales Tax,"$1,506.29","$1,878.69","$2,153.82","$2,306.68","$2,516.04","$2,742.07","$3,018.13","$3,297.90","$3,556.36","$3,801.85","$4,058.45","$4,344.70","$4,641.14","$4,728.22","$4,945.00","$5,185.85","$5,438.75",,,,,,,,,,,,,,,,,,,
Services & Labor,"$10,393.38","$12,962.96","$14,861.39","$15,916.07","$17,360.66","$18,920.30","$20,825.12","$22,755.50","$24,538.87","$26,232.75","$28,003.33","$29,978.45","$32,023.89","$32,624.74","$34,120.47","$35,782.38","$37,527.40",,,,,,,,,,,,,,,,,,,
Total Cost of PV System,"$18,828.59","$23,483.63","$26,922.80","$28,833.45","$31,450.47","$34,275.91","$37,726.66","$41,223.73","$44,454.47","$47,523.09","$50,730.67","$54,308.79","$58,014.30","$59,102.79","$61,812.44","$64,823.16","$67,984.42",,,,,,,,,,,,,,,,,,,
Federal 30% Tax Credit,"$5,648.58","$7,045.09","$8,076.84","$8,650.04","$9,435.14","$10,282.77","$11,318.00","$12,367.12","$13,336.34","$14,256.93","$15,219.20","$16,292.64","$17,404.29","$17,730.84","$18,543.73","$19,446.95","$20,395.33",,,,,,,,,,,,,,,,,,,
Net After Tax Credit,"$13,180.01","$16,438.54","$18,845.96","$20,183.42","$22,015.33","$23,993.14","$26,408.66","$28,856.61","$31,118.13","$33,266.16","$35,511.47","$38,016.16","$40,610.01","$41,371.95","$43,268.71","$45,376.21","$47,589.09",,,,,,,,,,,,,,,,,,,
Cost Per Watt,$7.21,$6.75,$6.19,$5.52,$5.16,$4.92,$4.82,$4.74,$4.65,$4.55,$4.49,$4.46,$4.45,$4.25,$4.18,$4.14,$4.11,,,,,,,,,,,,,,,,,,,
,2218.5,2958,3697.5,4437,5176.5,5916,6655.5,7395,8134.5,8874,9613.5,10353,11092.5,11832,12571.5,13311,14050.5,,,,,,,,,,,,,,,,,,,
